PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 1657140496, 0.82901216, 0.43552575, 0.21073431, -0.28044167, -0.19071284, -0.02200374, 0.09316635
2, 1657157163, 0.82845974, 0.43495965, 0.21260309, -0.28153968, -0.054291245, 0.12729368, 0.18277551
3, 1657173830, 0.8279974, 0.4348032, 0.21413949, -0.2819766, -0.035461333, 0.11595187, 0.036450386
4, 1657190497, 0.8275966, 0.43492883, 0.21511552, -0.28221658, -0.1424586, 0.25168118, -0.16297533
5, 1657207164, 0.8271059, 0.43515587, 0.21601263, -0.28261963, 0.048393786, 0.57292306, -0.021981241
6, 1657223831, 0.8266011, 0.4357977, 0.216549, -0.28269714, 0.037188023, 0.6829537, -0.08828927
7, 1657240498, 0.8260978, 0.43653038, 0.2166788, -0.28293824, -0.07287982, 0.616388, -0.044960976
8, 1657257165, 0.8260385, 0.4364501, 0.21686554, -0.28309226, 0.06911245, 0.6242099, 0.10643387
9, 1657273832, 0.82640684, 0.43568194, 0.21690972, -0.28316632, 0.17292623, 0.4859898, -0.055490494
10, 1657290499, 0.8269252, 0.43468195, 0.21646024, -0.28353354, 0.08916778, 0.23131937, -0.1990185
11, 1657307166, 0.8276957, 0.4331056, 0.21580903, -0.28419355, 0.07836984, 0.2719475, -0.04773712
12, 1657323833, 0.8287778, 0.43105894, 0.21491128, -0.2848312, -0.4033525, -0.49014157, -0.47146705
13, 1657340500, 0.82984436, 0.4291075, 0.21372077, -0.2855673, -0.46687025, -0.87511253, -0.50750065
14, 1657357167, 0.8309388, 0.427163, 0.21233585, -0.28633213, -0.15547767, -0.84865785, -0.19078352
15, 1657373834, 0.83206433, 0.42522287, 0.21087298, -0.28703177, 0.18222424, -0.8192159, -0.07881546
16, 1657390501, 0.8333219, 0.4230416, 0.20941228, -0.2876754, 0.38869536, -0.72552055, 0.0051813126
17, 1657407168, 0.8347825, 0.42052436, 0.20802358, -0.28813866, 0.37824443, -0.95552635, -0.23880863
18, 1657423835, 0.83619577, 0.41812676, 0.20660584, -0.28855002, 0.28624016, -1.3576001, -0.35198307
19, 1657440502, 0.83725774, 0.41635025, 0.20518216, -0.2890545, 0.45857897, -1.4820538, -0.32579136
