PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
2,713988395,0.164693412,-0.003134372,0.008482166,0.999999964,5.77E-06,-1.48E-04,-2.22E-04
3,714005062,0.16636917,8.20E-04,0.006501565,0.99999977,6.16E-04,-2.57E-04,1.18E-04
4,714021729,0.169354255,0.005341516,0.002889351,0.999999846,4.76E-04,-2.29E-04,1.70E-04
5,714038396,0.170957271,0.005333001,0.001339422,0.999999965,-2.40E-04,-4.35E-05,-9.86E-05
6,714055063,0.169619318,0.001443136,0.002366696,0.999999808,-5.44E-04,1.65E-04,-2.47E-04
7,714071730,0.165720569,-0.002253357,0.004942693,0.999999963,-2.57E-05,2.69E-04,-3.09E-05
8,714088397,0.163702457,-0.001148508,0.005507682,0.999999798,5.63E-04,2.46E-04,1.65E-04
9,714105064,0.164930163,0.002558937,0.004078683,0.999999857,5.01E-04,1.82E-04,4.05E-05
10,714121731,0.167474237,0.005084385,0.002760759,0.999999968,1.02E-05,1.82E-04,-1.75E-04
11,714138398,0.167227494,0.004716497,0.003767861,0.999999933,-2.64E-04,2.22E-04,-1.24E-04
12,714155065,0.16620452,0.002816985,0.005187155,0.999999946,-2.32E-04,2.04E-04,1.13E-04
13,714171732,0.166449114,0.001114006,0.005744717,0.99999995,-1.61E-04,1.51E-04,2.28E-04
14,714188399,0.168038211,-4.49E-05,0.004424102,0.999999962,-1.34E-04,1.77E-04,1.61E-04
15,714205066,0.168693682,1.60E-04,0.003905291,0.999999947,-7.01E-05,2.99E-04,1.03E-04
16,714221733,0.167194976,-9.91E-04,0.004642366,0.999999912,6.03E-05,4.08E-04,7.16E-05
17,714238400,0.16514099,-8.02E-04,0.006313325,0.999999854,2.87E-04,4.52E-04,7.30E-05
18,714255067,0.164797875,0.001542325,0.006660086,0.99999984,3.59E-04,4.28E-04,8.49E-05
19,714271734,0.164147986,0.002724959,0.007452114,0.999999937,6.46E-05,3.48E-04,4.03E-05
20,714288401,0.164048198,7.75E-04,0.008131442,0.999999936,-2.81E-04,2.18E-04,-3.97E-05
21,714305068,0.165604991,-0.001032071,0.007603228,0.999999934,-3.44E-04,1.11E-04,-4.15E-05
22,714321735,0.166920108,-6.42E-04,0.006946104,0.999999978,-1.70E-04,8.05E-05,9.50E-05
23,714338402,0.169050462,0.001110987,0.005386219,0.999999958,-1.19E-04,6.15E-05,2.55E-04
24,714355069,0.17001346,5.50E-04,0.005108147,0.999999883,-3.72E-04,1.31E-04,2.78E-04
25,714371736,0.169772681,-0.002052577,0.006306686,0.999999831,-5.07E-04,2.23E-04,1.79E-04
26,714388403,0.168493012,-0.003677289,0.00735819,0.9999999,-3.06E-04,2.65E-04,1.87E-04
27,714405070,0.168007499,-0.002795284,0.006651247,0.999999932,1.19E-05,2.79E-04,2.41E-04
28,714421737,0.168528423,2.26E-04,0.004959509,0.999999922,1.00E-04,3.28E-04,1.98E-04
29,714438404,0.167833942,0.002925439,0.004721404,0.999999919,-1.30E-04,3.64E-04,1.17E-04
30,714455071,0.166787229,0.00182857,0.006691835,0.999999862,-3.76E-04,3.50E-04,1.07E-04
31,714471738,0.167367442,-0.002156271,0.008066259,0.999999864,-4.30E-04,2.92E-04,5.60E-05
32,714488405,0.168350095,-0.004320204,0.007918278,0.999999891,-3.29E-04,3.10E-04,-1.15E-04
33,714505072,0.167522193,-0.005708587,0.008932779,0.999999882,-1.33E-04,3.28E-04,-3.33E-04
34,714521739,0.165783981,-0.00499143,0.010091173,0.999999831,2.22E-04,2.82E-04,-4.57E-04
35,714538406,0.163916979,-0.003949929,0.010594716,0.999999697,5.82E-04,2.06E-04,-4.74E-04
36,714555073,0.163273251,-0.001763897,0.009766574,0.999999588,6.37E-04,1.26E-04,-6.35E-04
37,714571740,0.163269951,6.13E-05,0.008822827,0.999999518,3.95E-04,5.19E-05,-8.97E-04
38,714588407,0.16419862,0.001678869,0.007558466,0.999999462,2.37E-04,-3.15E-06,-0.001009998
