PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
2,594558384,0.1682879,0.003027009,0.005087,0.999999986,-5.15E-05,1.04E-04,-1.18E-04
3,594575051,0.168072227,0.003310059,0.005610509,0.999999972,9.00E-05,2.16E-04,-2.28E-05
4,594591718,0.167229915,0.00383704,0.005972073,0.999999944,1.97E-04,2.64E-04,5.60E-05
5,594608385,0.165074347,0.004262431,0.006956299,0.999999969,-1.16E-05,2.47E-04,-3.59E-05
6,594625052,0.163604115,0.002000021,0.008546209,0.999999914,-2.69E-04,1.78E-04,-2.61E-04
7,594641719,0.163753786,5.09E-04,0.008772957,0.999999932,-1.33E-04,7.67E-05,-3.35E-04
8,594658386,0.165813609,0.002192891,0.006957736,0.999999944,1.96E-04,1.81E-05,-2.72E-04
9,594675053,0.168464735,0.006015541,0.004483046,0.999999928,2.78E-04,8.56E-05,-2.45E-04
10,594691720,0.168411584,0.008160092,0.003744965,0.999999943,1.70E-04,2.27E-04,-1.85E-04
11,594708387,0.166528675,0.007760816,0.004744047,0.999999952,4.30E-05,2.99E-04,-6.99E-05
12,594725054,0.163441354,0.005777133,0.006954416,0.999999959,-1.15E-04,2.42E-04,-9.68E-05
13,594741721,0.16229446,0.004033701,0.008022923,0.999999882,-3.64E-04,9.64E-05,-3.08E-04
14,594758388,0.163504971,0.002591722,0.007359927,0.999999885,-2.93E-04,-6.92E-05,-3.73E-04
15,594775055,0.166902152,0.002498619,0.004987421,0.99999996,1.98E-04,-1.01E-04,-1.77E-04
16,594791722,0.170171907,0.00636177,0.002800449,0.999999835,5.74E-04,3.39E-05,1.95E-05
17,594808389,0.171345255,0.010117652,0.002257563,0.99999993,3.18E-04,1.96E-04,-1.86E-05
18,594825056,0.170024355,0.009999082,0.004159159,0.999999902,-2.39E-04,3.37E-04,-1.61E-04
19,594841723,0.167935526,0.006746149,0.006315506,0.999999848,-4.02E-04,3.71E-04,-5.86E-05
20,594858390,0.16688376,0.004267718,0.007690857,0.999999904,-5.74E-05,3.65E-04,2.35E-04
21,594875057,0.167059962,0.004570755,0.00801278,0.999999839,1.98E-04,3.75E-04,3.77E-04
22,594891724,0.16761358,0.007440864,0.007498497,0.999999841,1.47E-04,3.63E-04,4.07E-04
23,594908391,0.168882181,0.007219611,0.007460247,0.999999829,-2.60E-04,3.73E-04,3.67E-04
24,594925058,0.167647871,0.002358082,0.008861315,0.999999769,-4.63E-04,4.34E-04,2.41E-04
25,594941725,0.166043706,-0.001108295,0.010913505,0.999999849,-2.34E-04,4.58E-04,1.94E-04
26,594958392,0.165181512,-0.001180837,0.012246454,0.999999875,1.94E-04,4.04E-04,2.20E-04
27,594975059,0.165669341,-3.02E-04,0.012722741,0.999999809,5.07E-04,2.87E-04,2.05E-04
28,594991726,0.165759761,0.001519738,0.012117341,0.999999786,6.00E-04,1.98E-04,1.67E-04
29,595008393,0.164805015,0.002195843,0.012489146,0.999999913,4.05E-04,9.87E-05,5.28E-06
30,595025060,0.162816851,0.002126858,0.012678418,0.999999961,9.59E-06,-5.93E-05,-2.72E-04
31,595041727,0.162161505,-5.83E-05,0.012854182,0.999999853,-1.45E-04,-2.66E-04,-4.51E-04
32,595058394,0.165451761,2.54E-04,0.009937646,0.999999834,2.51E-04,-3.97E-04,-3.35E-04
33,595075061,0.168706018,0.003956614,0.006445911,0.999999772,5.41E-04,-3.55E-04,-1.92E-04
34,595091728,0.169562025,0.005901222,0.004401389,0.999999903,2.65E-04,-2.10E-04,-2.83E-04
35,595108395,0.1681257,0.003785168,0.005221655,0.999999842,-1.41E-04,-8.87E-05,-5.37E-04
36,595125062,0.166229947,0.001442107,0.006495983,0.999999745,-1.75E-04,-4.07E-05,-6.91E-04
37,595141729,0.165145322,0.001190696,0.006748785,0.999999786,1.55E-04,-7.55E-05,-6.31E-04
38,595158396,0.166395976,0.002779902,0.005631727,0.999999741,4.79E-04,-8.43E-05,-5.29E-04
39,595175063,0.168093207,0.005563944,0.00424696,0.99999973,4.99E-04,-1.84E-05,-5.40E-04
40,595191730,0.168467904,0.007416721,0.004229503,0.999999762,3.83E-04,1.05E-04,-5.65E-04
41,595208397,0.167632098,0.008355441,0.005269008,0.999999837,3.21E-04,1.71E-04,-4.41E-04
42,595225064,0.167475536,0.009223194,0.005482243,0.999999906,2.02E-04,1.92E-04,-3.32E-04
43,595241731,0.168168074,0.009754383,0.005150101,0.999999946,5.87E-05,2.16E-04,-2.39E-04
44,595258398,0.168174886,0.010093673,0.005052085,0.999999953,8.01E-05,2.89E-04,-7.05E-05
45,595275065,0.167838826,0.010605609,0.005582704,0.999999891,2.41E-04,3.42E-04,2.06E-04
46,595291732,0.167560461,0.011849965,0.005937953,0.999999809,2.63E-04,3.50E-04,4.38E-04
47,595308399,0.16800819,0.011833177,0.006007615,0.999999831,-6.69E-05,3.39E-04,4.67E-04
48,595325066,0.167237571,0.008519851,0.007482465,0.999999776,-4.24E-04,3.46E-04,3.84E-04
49,595341733,0.166220355,0.006005414,0.009028576,0.999999792,-3.19E-04,3.22E-04,4.60E-04
50,595358400,0.165924053,0.006044548,0.009423579,0.999999722,-5.63E-05,2.54E-04,6.98E-04
51,595375067,0.165522738,0.006846445,0.009510675,0.999999707,-1.14E-04,1.71E-04,7.38E-04
52,595391734,0.164284292,0.005455043,0.010610322,0.99999971,-4.31E-04,7.76E-05,6.23E-04
53,595408401,0.163072183,0.001785852,0.010519552,0.999999709,-6.40E-04,-4.17E-05,4.13E-04
54,595425068,0.163331021,-8.23E-04,0.009378869,0.99999975,-6.65E-04,-1.54E-04,1.85E-04
55,595441735,0.163703125,-0.003002823,0.008622845,0.999999926,-3.43E-04,-1.77E-04,4.71E-06
56,595458402,0.165316782,-0.002535832,0.006861226,0.999999975,1.80E-04,-1.22E-04,-4.69E-05
57,595475069,0.167418401,1.69E-04,0.004464052,0.999999902,4.17E-04,1.05E-05,-1.47E-04
58,595491736,0.168303297,9.14E-04,0.001150955,0.99999981,2.96E-04,2.84E-04,-4.60E-04
59,595508403,0.166595607,6.51E-04,-0.001830279,0.999999524,3.21E-04,6.12E-04,-6.90E-04
60,595525070,0.168919796,0.003788773,-0.008546998,0.999999098,7.38E-04,9.80E-04,-5.46E-04
61,595541737,0.176176066,0.00842106,-0.018067366,0.999997733,0.001364332,0.00163486,-1.85E-05
62,595558404,0.184676223,0.013131396,-0.028455432,0.99999486,0.001591069,0.002743446,4.70E-04
63,595575071,0.186689009,0.014246976,-0.032899698,0.999990033,0.001185451,0.004260899,6.11E-04
64,595591738,0.184095264,0.009875229,-0.029872049,0.999983009,8.72E-04,0.005733612,5.90E-04
65,595608405,0.181831226,0.006166236,-0.024007095,0.999973687,0.001325869,0.00708441,8.24E-04
66,595625072,0.179275478,0.00971864,-0.016177202,0.999961645,0.002186598,0.008367383,0.001383316
67,595641739,0.169516639,0.01297136,-0.002975936,0.999953916,0.002257193,0.009167822,0.001738273
68,595658406,0.15717741,0.007192381,0.016372413,0.999954844,0.001170594,0.00933689,0.00132742
69,595675073,0.133961614,-0.008669901,0.049744479,0.999962582,6.36E-05,0.008641932,3.85E-04
70,595691740,0.108403695,-0.025245222,0.086029503,0.999978839,6.21E-05,0.006483459,-5.31E-04
71,595708407,0.103364766,-0.030334236,0.100505668,0.999993134,0.001242287,0.003314416,-0.001096861
72,595725074,0.12213352,-0.020967284,0.086564362,0.999995988,0.002475912,4.38E-04,-0.001304434
73,595741741,0.156539948,-0.003402108,0.054732941,0.999994963,0.002537685,-0.001055013,-0.001587835
74,595758408,0.194729082,0.016333665,0.016609279,0.999996959,0.001531169,-7.00E-04,-0.001801804
75,595775075,0.222344374,0.032348653,-0.011971231,0.999997862,1.16E-04,0.00135646,-0.001556265
76,595791742,0.226872384,0.034015503,-0.023138197,0.999990082,-8.85E-04,0.004289033,-8.10E-04
77,595808409,0.207138445,0.021017581,-0.014616822,0.999974765,-7.58E-04,0.00706185,1.58E-04
78,595825076,0.174869894,0.001736022,0.007336883,0.999961434,4.18E-04,0.008738149,7.74E-04
79,595841743,0.145171003,-0.00739553,0.03463945,0.999957236,0.001960765,0.009001834,8.06E-04
80,595858410,0.126190159,-0.00255267,0.055477331,0.999965324,0.002304934,0.008001505,1.17E-04
81,595875077,0.11767978,0.002151316,0.070187858,0.999979339,0.001320439,0.00622258,-9.26E-04
82,595891744,0.121627182,0.001877223,0.075310536,0.999989747,4.58E-04,0.004254149,-0.001482918
83,595908411,0.136336582,0.003237638,0.069095551,0.999995385,6.33E-04,0.00270225,-0.001235865
84,595925078,0.161593473,0.015082613,0.050586931,0.999997114,7.53E-04,0.002172006,-6.98E-04
85,595941745,0.18565404,0.027871244,0.029507446,0.999995616,7.97E-05,0.002944312,-3.05E-04
86,595958412,0.196869411,0.033577545,0.01518425,0.99998855,-7.82E-04,0.004712208,2.88E-04
87,595975079,0.186692256,0.026677689,0.019099914,0.999976556,-0.001331932,0.006649808,9.46E-04
88,595991746,0.162981423,0.008686668,0.038433247,0.999967404,-0.001440113,0.007856859,0.001177622
89,596008413,0.13287572,-0.009582715,0.067382343,0.999970141,-6.27E-04,0.007639855,9.79E-04
90,596025080,0.118571883,-0.01215768,0.082512716,0.999980466,5.18E-04,0.006202018,5.78E-04
91,596041747,0.126884337,-0.001180178,0.07852616,0.999989353,8.03E-04,0.004544021,2.60E-05
92,596058414,0.148602332,0.013892828,0.060200659,0.999993242,2.40E-04,0.003666076,-1.38E-04
93,596075081,0.169681496,0.025783076,0.043059403,0.999991942,-6.65E-04,0.003943562,3.49E-04
94,596091748,0.176812057,0.027854882,0.037793349,0.999985673,-0.001583998,0.004974828,0.001181662
95,596108415,0.172556283,0.019759251,0.039063278,0.999977001,-0.002544172,0.006061478,0.001668326
96,596125082,0.166710705,0.004455537,0.040403787,0.999968677,-0.003163122,0.007076026,0.001603162
97,596141749,0.151399576,-0.016953197,0.053832611,0.999964268,-0.00260771,0.007951576,0.001197906
98,596158416,0.131517072,-0.023408219,0.072950971,0.999968554,-8.31E-04,0.007827583,9.64E-04
