PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
2,468678338,0.167914377,0.013103893,0.008968572,0.99999998,-1.34E-04,-1.13E-04,-9.50E-05
3,468695005,0.168340392,0.014125803,0.008522613,0.999999997,3.87E-05,2.32E-05,-6.77E-05
4,468711672,0.167591809,0.015840619,0.010515512,0.999999978,1.55E-04,1.28E-04,5.58E-05
5,468728339,0.165241443,0.014924049,0.010692033,0.999999986,4.77E-05,1.35E-04,8.74E-05
6,468745006,0.164293002,0.01392199,0.006691505,0.999999981,-1.34E-04,1.14E-04,-8.09E-05
7,468761673,0.165692225,0.013659679,0.004046428,0.999999958,-3.11E-05,2.53E-04,-1.36E-04
8,468778340,0.163137531,0.012612188,0.011774453,0.999999915,-1.93E-04,2.14E-04,-2.95E-04
9,468795007,0.165381372,0.015089028,0.010373707,0.999999923,3.25E-04,2.16E-04,2.73E-05
10,468811674,0.164531889,0.019998444,0.011445078,0.999999946,2.95E-04,1.28E-04,7.03E-05
11,468828341,0.165707292,0.021677136,0.009722253,0.999999424,-9.78E-04,-9.07E-05,-4.34E-04
12,468845008,0.166907777,0.013711917,0.012267651,0.999998772,-0.00147566,-2.87E-04,-4.42E-04
13,468861675,0.172424402,0.009175111,0.011047795,0.999999625,-8.02E-04,-3.26E-04,3.51E-05
14,468878342,0.178285099,0.011405206,0.006157845,0.999999908,-1.95E-04,-1.63E-05,3.82E-04
15,468895009,0.178840641,0.012462027,0.003372324,0.999999792,-2.55E-04,4.91E-04,3.32E-04
16,468911676,0.172485193,0.008993899,0.005309174,0.999999483,-3.37E-04,9.42E-04,1.82E-04
17,468928343,0.16670647,0.003908022,0.008635073,0.999999336,-5.99E-07,0.001150229,6.62E-05
18,468945010,0.162591829,0.002621124,0.010284667,0.999999122,5.94E-04,0.001170076,-1.83E-04
19,468961677,0.160225634,0.007817168,0.010711131,0.999998823,0.001045543,0.001047022,-4.06E-04
20,468978344,0.158272323,0.016312665,0.011083472,0.999999045,0.001016024,8.24E-04,-4.46E-04
21,468995011,0.157782421,0.018445497,0.01071648,0.999999551,4.72E-04,5.34E-04,-6.25E-04
22,469011678,0.158391795,0.016826264,0.009971294,0.99999956,-5.45E-05,3.61E-04,-8.65E-04
23,469028345,0.161151203,0.018963994,0.008983024,0.999999496,-4.19E-05,3.72E-04,-9.32E-04
24,469045012,0.161899747,0.021892271,0.010051901,0.999999588,1.14E-04,3.89E-04,-8.12E-04
25,469061679,0.162935309,0.024072714,0.011351899,0.99999968,7.50E-05,3.42E-04,-7.20E-04
26,469078346,0.164868781,0.026266314,0.012607066,0.999999579,-3.43E-04,2.96E-04,-7.99E-04
27,469095013,0.167154935,0.026626486,0.012591843,0.999999459,-7.02E-04,3.24E-04,-6.95E-04
28,469111680,0.166666466,0.024948398,0.015286755,0.999999587,-7.02E-04,4.67E-04,-3.40E-04
29,469128347,0.163909774,0.021385495,0.018127169,0.999999718,-5.58E-04,5.00E-04,-3.95E-05
30,469145014,0.163570302,0.019753331,0.018710513,0.999999751,-5.81E-04,3.94E-04,-7.51E-05
31,469161681,0.164447078,0.018167387,0.018790652,0.999999699,-6.28E-04,3.76E-04,-2.57E-04
32,469178348,0.164424674,0.019174497,0.018930451,0.999999886,-2.66E-04,3.53E-04,-1.81E-04
33,469195015,0.165989323,0.021554403,0.018912929,0.999999958,3.39E-05,2.85E-04,3.23E-05
34,469211682,0.166724545,0.023653268,0.01835481,0.999999956,-1.48E-04,2.50E-04,6.55E-05
35,469228349,0.166532575,0.021699539,0.018513899,0.999999842,-5.07E-04,2.27E-04,8.88E-05
36,469245016,0.165446011,0.014631159,0.018466556,0.999999877,-3.76E-04,2.71E-04,1.75E-04
37,469261683,0.164567658,0.010393477,0.018713454,0.999999814,4.19E-04,3.84E-04,2.21E-04
38,469278350,0.165488657,0.01770955,0.016977518,0.9999995,8.91E-04,4.24E-04,1.65E-04
39,469295017,0.166381002,0.022237581,0.014461935,0.999999769,5.42E-04,4.00E-04,-8.47E-05
40,469311684,0.167099463,0.020502185,0.013094866,0.999999879,1.33E-04,3.79E-04,-2.82E-04
41,469328351,0.167991468,0.016352153,0.011589689,0.999999818,2.50E-04,5.05E-04,-2.14E-04
42,469345018,0.167911526,0.017386157,0.010077227,0.999999544,6.05E-04,7.39E-04,2.16E-05
43,469361685,0.166752422,0.018285462,0.008201049,0.999999218,7.95E-04,9.29E-04,2.66E-04
44,469378352,0.167017819,0.017709156,0.00479349,0.999998977,7.84E-04,0.00114249,3.56E-04
45,469395019,0.167384176,0.014649098,0.002220282,0.99999842,8.53E-04,0.001505401,4.10E-04
46,469411686,0.16739935,0.017462097,0.001297711,0.999997793,7.72E-04,0.001904944,4.34E-04
47,469428353,0.164970427,0.020220344,0.003185461,0.999997684,-9.39E-06,0.002143317,1.97E-04
48,469445020,0.164968122,0.017973466,0.004032147,0.999997086,-8.82E-04,0.002247443,-5.57E-06
49,469461687,0.167669245,0.011622664,0.002530642,0.999996466,-7.98E-04,0.002527644,2.04E-04
50,469478354,0.168511454,0.007214787,0.001230069,0.999994935,2.07E-04,0.003103861,6.73E-04
51,469495021,0.168352709,0.011124316,0.001126445,0.999992094,9.74E-04,0.003761087,8.46E-04
52,469511688,0.16599869,0.015263517,0.003468253,0.999990593,5.71E-04,0.004275416,4.57E-04
53,469528355,0.162449343,0.016040721,0.007923675,0.999989686,-3.08E-04,0.004528232,-1.66E-04
54,469545022,0.162803989,0.015834141,0.010038833,0.999988392,-9.12E-04,0.004704628,-5.00E-04
55,469561689,0.164377208,0.013108486,0.011003006,0.999987055,-9.30E-04,0.004978867,-4.86E-04
56,469578356,0.162932668,0.01132224,0.014115836,0.999985678,-3.47E-04,0.005338048,-1.68E-04
57,469595023,0.1606924,0.012269665,0.017946781,0.999984607,-7.32E-05,0.005547217,-9.07E-05
58,469611690,0.160847699,0.016224004,0.018947609,0.999984034,-4.67E-04,0.005616423,-4.12E-04
59,469628357,0.163818327,0.017070855,0.018225363,0.999982512,-0.001125255,0.00574779,-8.20E-04
60,469645024,0.163239087,0.012184679,0.021845873,0.99998086,-0.001032612,0.006044925,-8.19E-04
61,469661691,0.160527568,0.013833618,0.025847662,0.999980149,-3.64E-04,0.006274412,-4.48E-04
62,469678358,0.160937997,0.020223602,0.024602536,0.999979009,-4.51E-04,0.006452386,-3.80E-04
63,469695025,0.165908549,0.025402403,0.01989985,0.999975699,-0.001416603,0.00679055,-6.94E-04
64,469711692,0.168643639,0.024043757,0.018084191,0.999969672,-0.002140943,0.007442383,-8.26E-04
65,469728359,0.165602556,0.016953372,0.023380042,0.999963836,-0.001894873,0.008272714,-5.47E-04
66,469745026,0.159607433,0.014086426,0.030728574,0.999959453,-0.001032462,0.008945223,-9.19E-05
67,469761693,0.158025083,0.021107916,0.03226356,0.99995578,-6.89E-04,0.009378307,1.07E-04
68,469778360,0.158211301,0.027785011,0.031420477,0.999950614,-0.001466142,0.009829367,-5.78E-05
69,469795027,0.151646112,0.018104213,0.040362303,0.999945359,-0.001910535,0.010277136,-9.75E-05
70,469811694,0.146937984,0.015161895,0.04643325,0.999943393,-0.001306976,0.010555991,2.73E-04
71,469828361,0.146807108,0.020481416,0.047780251,0.999941069,-0.001163631,0.010782162,4.99E-04
72,469845028,0.14644786,0.018844051,0.052039439,0.999937258,-0.001748222,0.011060677,2.91E-04
73,469861695,0.140875491,0.010716634,0.062239664,0.999935088,-0.001731891,0.011257966,2.82E-04
74,469878362,0.135971217,0.011652906,0.068973651,0.99993593,-0.001140191,0.011248976,5.45E-04
75,469895029,0.132808087,0.018137487,0.07316006,0.999937941,-0.001173391,0.011057452,6.86E-04
76,469911696,0.132948397,0.017146519,0.07656564,0.999940073,-0.001827562,0.010776601,6.13E-04
77,469928363,0.132121821,0.01108775,0.082428943,0.99994076,-0.002423682,0.010606473,3.25E-04
78,469945030,0.129085458,0.011190688,0.08846893,0.999942754,-0.002782444,0.010331801,2.60E-05
79,469961697,0.126968864,0.011530044,0.092103178,0.999946425,-0.00275024,0.009978781,9.02E-05
80,469978364,0.127637819,0.010722317,0.093863109,0.99994977,-0.002354201,0.009727803,5.35E-04
81,469995031,0.128988542,0.009366625,0.096065698,0.999951303,-0.002035598,0.009623599,7.96E-04
